Nome;Tipo;Nome UTM;Link;Filtros;Texto Legal;;;;;;;;;;;;;;;;;;;;;;;
Refil_EKOS_SEVE_CHRONOS;;refislekossevechronos;www.natura.com.br/c/refis;"product_line=%5B""Chronos""%2C""Ekos""%2C""Sève""%5D";;;;;;;;;;;;;;;;;;;;;;;;
Refil_TODODIA_MMBB;;refiltododiammbb;www.natura.com.br/c/refis;"product_line=%5B""Tododia""%2C""Mamãe+e+Bebê""%2C""Erva+Doce""%5D";;;;;;;;;;;;;;;;;;;;;;;;
Refil_Una_Ekos_Tododia;;refilunaekostododia;www.natura.com.br/c/refis;"product_line=%5B""Tododia""%2C""Una""%2C""Ekos""%5D";;;;;;;;;;;;;;;;;;;;;;;;
Refil_Homem_Ilia_KAIAK_Luna_Essencial;;refilhomemilikaiaklunaessencial;www.natura.com.br/c/refis;"product_line=%5B""Essencial""%2C""Luna""%2C""Ilía""%2C""Humor""%2C""Kaiak""%2C""Homem""%5D";;;;;;;;;;;;;;;;;;;;;;;;
LP Mulher elastica;mulher elastica;lpmulherelastica;www.natura.com.br/c/cme9;;;;;;;;;;;;;;;;;;;;;;;;;
LP Mulher Maravilha;mulher maravilha;lpmulhermaravilha;www.natura.com.br/c/cmm6;;;;;;;;;;;;;;;;;;;;;;;;;
LP Penelope Cheirosa;penelope cheirosa;lppenelopecheirosa;www.natura.com.br/c/cpc7;;;;;;;;;;;;;;;;;;;;;;;;;
LP Meryl Streep;meryl streep;lpmerylstreep;www.natura.com.br/c/cms3;;;;;;;;;;;;;;;;;;;;;;;;;
LP Glitter;Glitter;lpglitter;www.natura.com.br/c/queridinhos-pra-voce;;;;;;;;;;;;;;;;;;;;;;;;;
LP JLO;JLO;lpjlo;www.natura.com.br/c/favoritos-pra-voce;;;;;;;;;;;;;;;;;;;;;;;;;
LP Christian Grey;Christian;lpchristiangrey;www.natura.com.br/c/perfeitos-pra-voce;;;;;;;;;;;;;;;;;;;;;;;;;
LP Will Smith;Will;lpwillsmith;www.natura.com.br/c/excelente-pra-voce;;;;;;;;;;;;;;;;;;;;;;;;;
Segmentada Will Smith;;segmentadawillsmith;www.natura.com.br/c/exclusivo9;;"*Promoção "" ou enquanto durarem os estoques. Aplicável apenas para clientes selecionados e produtos desta página. Limitado a 1.000 utilizações. A seleção de produtos pode variar durante o período da promoção";;;;;;;;;;;;;;;;;;;;;;;
Segmentada Christian Grey;;segmentadacristian;www.natura.com.br/c/exclusivo3;;"*Promoção "" ou enquanto durarem os estoques. Aplicável apenas para clientes selecionados e produtos desta página. Limitado a 1.000 utilizações. A seleção de produtos pode variar durante o período da promoção";;;;;;;;;;;;;;;;;;;;;;;
Segmentada Mulher Elastica;;segmentadamulherelastica;www.natura.com.br/c/exclusivo2;;"*Promoção ""Ganhe R$15 acima de R$150"" válida até 06/10/2020 ou enquanto durarem os estoques. Aplicável apenas para clientes selecionados e produtos desta página. Limitado a 1.000 utilizações. A seleção de produtos pode variar durante o período da promoção";;;;;;;;;;;;;;;;;;;;;;;
Segmentada Mulher Maravilha;;segmentadamulhermaravilha;www.natura.com.br/c/exclusivo8;;"*Promoção "" ou enquanto durarem os estoques. Aplicável apenas para clientes selecionados e produtos desta página. Limitado a 1.000 utilizações. A seleção de produtos pode variar durante o período da promoção";;;;;;;;;;;;;;;;;;;;;;;
Segmentada Meryl Streep;;segmentadameryl;www.natura.com.br/c/exclusivo1;;"*Promoção ""Seleção com 30%OFF"" válida até 06/10/2020 ou enquanto durarem os estoques. Aplicável apenas para clientes selecionados e produtos desta página. Limitado a 1.000 utilizações. A seleção de produtos pode variar durante o período da promoção";;;;;;;;;;;;;;;;;;;;;;;
